minutes,T1_C,T2_C,T3_C,T4_C,T5_C,mean_C,delta_T_K,total_sensible_J
52.25,-24.11644507533913,-23.995429410999265,-23.949587096814582,-23.979492050578386,-24.084769886490704,-24.025144704044415,0.16685797852454698,-6625.045486728046
52.5,-24.179240508615464,-24.059516449863537,-24.014163412898313,-24.043749190047635,-24.147903391330658,-24.08891459055112,0.16507709571715168,-6642.130330352084
52.75,-24.241365723569885,-24.122919485031645,-24.07805050319564,-24.107320510302458,-24.21036306954403,-24.152003858328733,0.16331522037424406,-6659.032826708225
53.0,-24.302827873469624,-24.185645816903445,-24.14125572384276,-24.170213331121403,-24.272156112912484,-24.214419771649943,0.1615721496268634,-6675.7549219966695
53.25,-24.36363403523501,-24.24770266796142,-24.203786352463567,-24.232434894158587,-24.333289636459654,-24.276169517255646,0.15984768277144212,-6692.298541645744
53.5,-24.42379121025408,-24.30909718360212,-24.265649589007438,-24.29399236377779,-24.393770679270233,-24.337260205182332,0.15814162124664222,-6708.66559053359
53.75,-24.483306325188863,-24.369836432959147,-24.32685255657887,-24.354892827877023,-24.45360620530019,-24.397698869580818,0.1564537686099925,-6724.857953207508
54.0,-24.542186232772877,-24.42992740971704,-24.387402302256532,-24.415143298705033,-24.512803104178857,-24.457492469526066,0.15478393051634498,-6740.877494100942
54.25,-24.600437712600154,-24.489377032916252,-24.447305797905727,-24.474750713668243,-24.57136819200241,-24.516647889818557,0.153131914694427,-6756.726057748159
54.5,-24.658067471906065,-24.548192147750285,-24.506569940980626,-24.533721936129893,-24.62930821211816,-24.575171941777008,0.1514975309254396,-6772.405468996633
54.75,-24.715082146339284,-24.606379526353408,-24.565201555318566,-24.592063756200417,-24.686629835901556,-24.633071364022648,0.14988059102071816,-6787.91753321716
55.0,-24.771488300725963,-24.66394586858084,-24.62320739192583,-24.649782891518782,-24.74333966352401,-24.690352823255086,0.14828090880013178,-6803.26403651174
55.25,-24.827292429825803,-24.72089780278,-24.680594129754923,-24.70688598802664,-24.799444224713056,-24.747022915020086,0.1466983000708808,-6818.446745919228
55.5,-24.882500959079465,-24.77724188655347,-24.737368376473512,-24.763379620732707,-24.854949979503942,-24.80308816446862,0.14513258260595308,-6833.4674096187955
55.75,-24.93712024534898,-24.832984607514533,-24.793536669225432,-24.819270294470897,-24.909863318983867,-24.858555027108743,0.14358357612354666,-6848.32775713123
56.0,-24.991156577649093,-24.888132384033725,-24.84910547538331,-24.874564444648342,-24.964190566027412,-24.913429889548375,0.142051102265782,-6863.029499518061
56.25,-25.04461617787163,-24.942691565978237,-24.904081193293223,-24.929268437986792,-25.017937976025138,-24.967719070231006,0.14053498457840874,-6877.574329578588
56.5,-25.097505201502315,-24.996668435442842,-24.95847015301132,-24.983388573255837,-25.07111173760302,-25.021428820163067,0.1390350484909959,-6891.963922044791
56.75,-25.149829738328663,-25.050069207473143,-25.01227861703299,-25.036931081998034,-25.123717973336056,-25.074565323633777,0.13755112129567237,-6906.19993377417
57.0,-25.20159581314215,-25.102900030781456,-25.06551278101358,-25.08990212924624,-25.175762740452285,-25.127134698927144,0.13608303212856754,-6920.284003940505
57.25,-25.252809386430982,-25.155166988454567,-25.11817877448209,-25.142307814233675,-25.227252031530924,-25.179142999026446,0.13463061194889292,-6934.217754222599
57.5,-25.30347635506712,-25.20687609865419,-25.170282661546537,-25.19415417109633,-25.278191775192028,-25.23059621231124,0.13319369352058175,-6948.002788991034
57.75,-25.353602552985024,-25.25803331531023,-25.221830441592772,-25.245447169567427,-25.32858783677912,-25.281500263246915,0.13177211139225165,-6961.640695492842
58.0,-25.40319375185308,-25.308644528805587,-25.27282804997472,-25.296192715664887,-25.378446019034783,-25.33186101306661,0.13036570187836105,-6975.1330440343245
58.25,-25.452255661738747,-25.35871556665532,-25.323281358698125,-25.34639665237168,-25.42777206276844,-25.381684260446463,0.1289743030406214,-6988.481388161822
58.5,-25.500793931765486,-25.40825219417701,-25.373196177096503,-25.39606476030812,-25.476571647517886,-25.430975742173,0.12759775466898304,-7001.687264840618
58.75,-25.548814150763604,-25.45726011515461,-25.422578252500216,-25.445202758397926,-25.524850392202723,-25.479741133803817,0.12623589826338844,-7014.752194631896
59.0,-25.596321847913458,-25.50574497249565,-25.471433270897933,-25.49381630452629,-25.57261385577152,-25.52798605032097,0.12488857701552547,-7027.677681867822
59.25,-25.643322493382357,-25.553712348880453,-25.519766857591833,-25.54191099619169,-25.61986753784234,-25.575716046777735,0.12355563579052387,-7040.465214824764
59.5,-25.689821498954387,-25.60116776740523,-25.56758457784457,-25.5894923711501,-25.66661687933484,-25.622936618937825,0.12223692110981688,-7053.1162658946505
59.75,-25.735824218653192,-25.648116692218167,-25.614891937520895,-25.636565908052972,-25.712867263098218,-25.669653203908688,0.1209322811322977,-7065.63229175451
60.0,-25.781335949358947,-25.694564529147925,-25.661694383721112,-25.683137027077578,-25.7586240145298,-25.715871180767074,0.1196415656378349,-7078.014733534193
60.25,-25.826361931417807,-25.74051662632698,-25.707997305408185,-25.729211090551786,-25.803892402189007,-25.761595871178752,0.1183646260096225,-7090.26501698231
60.5,-25.870907349245755,-25.785978274806666,-25.753806034028912,-25.77479340357081,-25.848677638403416,-25.80683254001111,0.11710131521684275,-7102.384552630395
60.75,-25.914977331925087,-25.830954709166832,-25.79912584412682,-25.81988921460845,-25.892984879869317,-25.8515863959393,0.11585148779826682,-7114.374735955319
