method,scenario,j0,tau_b,tau_f,h,lambda0,Rc,case_hash,feasibility,stop_reason,success_time,last_valid_time,th_startup,startup_result,shutdown_status,E_aux_total_J,charge_C_cm2,wall_s,nfev,mass_residual,energy_residual,exception,V_min,ice_max,delta_T_max,E_aux_to_success_J,candidate_id,numerically_accepted,config_requested,code_hash
dynamic,0,0.16222337673835427,1.1566283183565036,43.20161456326038,46.66768958619144,3.073030547877057,9.163962485807177e-07,c0f973617bcc6a7e,feasible,success,137.51985902941766,141.5,141.5,success,passed,5295.096880653653,33.45190623618225,205.35947040002793,26086,4.2980010443867015e-15,3.2550403627508113e-15,,0.5602585813021522,0.006298183985184685,17.3068850794304,5256.357520642539,robust_dynamic_fc174a2ee5c0c4778aff,True,c0f973617bcc6a7e,904567fd11d251fb
dynamic,1,0.18828330692704445,1.3432348628148456,37.31152677192934,42.17633626014134,2.879142213000254,1.1298445621363353e-06,00d3ccadb9a9f10b,feasible,success,137.6929289847264,141.5,141.5,success,passed,5295.714258167393,33.45185662061228,209.70571579999523,26557,2.6794649385931146e-14,3.96275085834507e-15,,0.568184101422505,0.008034463490261603,17.306635453153262,5259.220094996954,robust_dynamic_13eecd89d0eb436f7f26,True,00d3ccadb9a9f10b,904567fd11d251fb
dynamic,2,0.18811273182578145,1.4833968651096772,33.23810339856574,35.95227782311889,2.9127035986124095,9.074603571876463e-07,b98e164c352802ab,feasible,success,136.83010594598016,140.5,140.5,success,passed,5280.055076486986,33.1516725337186,210.39945899997838,26446,6.888928620925366e-15,2.1228936191030938e-15,,0.5697306406711906,0.009725621931634334,17.297642712436982,5245.137793652504,robust_dynamic_8fc59c9385037a965c5d,True,b98e164c352802ab,904567fd11d251fb
dynamic,3,0.17051119312478344,1.606809928670101,31.572092541666564,44.035316623321094,2.92773916395042,8.445888424719696e-07,87d2d1ff7174ba71,feasible,success,137.5805280115226,141.5,141.5,success,passed,5298.0581125847875,33.451938273744524,207.07013880001614,26198,6.378933928057596e-14,1.8398377872026554e-15,,0.5660145249236964,0.010957825470595543,17.30532990774259,5259.040454505671,robust_dynamic_8916eef336c4e09c3060,True,87d2d1ff7174ba71,904567fd11d251fb
dynamic,4,0.17574630302013314,1.6191137453485214,29.668456046111782,37.19239919918308,3.1427445689139137,1.13910158136911e-06,ddedb68cf59ce013,feasible,success,136.85763103416065,139.5,139.5,success,passed,5271.248810884834,32.85209217673813,205.80858300003456,25899,1.363293710754656e-14,2.971968289486802e-15,,0.5667462298202307,0.011986949404248905,17.303670735447668,5245.551456545965,robust_dynamic_0d658e8c72ddb4b97f6d,True,ddedb68cf59ce013,904567fd11d251fb
dynamic,5,0.18339538350487936,1.207697992452273,33.03095182455715,39.70941264044263,3.020861245458857,1.032225198865742e-06,f4eab343b192725b,feasible,success,137.10435752365828,141.5,141.5,success,passed,5290.574984329979,33.451926522306806,203.81328150001355,26064,1.8933618594687268e-14,2.5474389831810232e-15,,0.5661260910672452,0.008401213869040405,17.30592536081349,5248.073696740817,robust_dynamic_c84e91266e0711fbdc66,True,f4eab343b192725b,904567fd11d251fb
dynamic,6,0.16210438472404945,1.6633278552867703,28.485770194308078,36.400048053617795,3.062317277983457,8.220526223057317e-07,b34adc7df7eb2fa8,feasible,success,136.37326127229406,139.5,139.5,success,passed,5264.569854823125,32.852045233832364,210.31187500001397,26077,7.800783144637819e-15,1.5567604536415677e-15,,0.5641577179009161,0.012520112733819958,17.312990288533,5234.143648066009,robust_dynamic_027879b31ca388e45eb2,True,b34adc7df7eb2fa8,904567fd11d251fb
dynamic,7,0.16423547417577716,1.3300859056131893,28.328027658343856,36.00860094783469,2.9571165064872984,1.198052421985557e-06,b9c2618744038bf3,feasible,success,136.1575331309844,138.5,138.5,success,passed,5247.160128380718,32.55172984188584,201.62580759997945,25710,7.518804868189305e-14,2.264407683791748e-15,,0.5614609724963998,0.010327201726153054,17.31386586168486,5223.9036228149525,robust_dynamic_718db379a32d1d5207fd,True,b9c2618744038bf3,904567fd11d251fb
dynamic,8,0.1586796508450105,1.3120801809198506,28.125157890746824,33.13817044023904,3.075349799388476,1.0881686029671452e-06,62a17f0dd53f777d,feasible,success,135.553182263034,138.5,138.5,success,passed,5241.907006343437,32.55200872150514,205.92566270002862,25836,3.740533891069149e-15,2.8304690858498645e-15,,0.5600340815814191,0.010397935923864912,17.304437336940623,5213.709277201836,robust_dynamic_ca10f46fb88b0fb8e13b,True,62a17f0dd53f777d,904567fd11d251fb
dynamic,9,0.17268445999358437,1.3350149288412718,28.745058487769192,41.02422400153496,3.113940061278741,8.505794886895365e-07,e9d966d977ba40ba,feasible,success,137.23269470542567,140.0,140.0,success,passed,5278.692846098775,33.00201710920712,213.51786979997996,26353,1.3688819478644222e-14,3.396547033328563e-15,,0.5649563824687077,0.010567754351445541,17.31248454825885,5251.2185894307995,robust_dynamic_bc0f8cb36c206533e6b3,True,e9d966d977ba40ba,904567fd11d251fb
dynamic,10,0.16705993535496813,1.688908489008275,37.945477950908796,44.977097156808554,3.1333331659365413,8.415613806951482e-07,9e278e2e98a3e595,feasible,success,137.82893612387247,140.5,140.5,success,passed,5292.3791722352535,33.15208348393398,211.13783120003063,26156,2.7588106716798397e-15,1.981314450645035e-15,,0.5656704723034197,0.009758788009426356,17.309464208921668,5266.575224591029,robust_dynamic_577a1c9344efdda77eaf,True,9e278e2e98a3e595,904567fd11d251fb
dynamic,11,0.16635266362436188,1.6525891229568954,24.824557938641473,32.85741011900806,2.875236649085132,9.700451391027256e-07,cc157fcca1b83241,feasible,success,135.99345797571078,139.0,139.0,success,passed,5250.232291638063,32.70222384045391,210.30465820000973,25699,1.0683493684588337e-14,3.962752732235356e-15,,0.5647496717102684,0.013848258969094888,17.29923851263669,5221.210613933219,robust_dynamic_0f77eb6917c91a7136a9,True,cc157fcca1b83241,904567fd11d251fb
dynamic,12,0.164784961385525,1.8030805879723881,32.92638782168071,39.668987642216514,3.085746190568759,1.1665507881600286e-06,21119f4143946dae,feasible,success,136.97273917979365,141.0,141.0,success,passed,5284.979624899213,33.302163552414626,217.22505350003485,26649,5.786646572790636e-14,2.5474189707289505e-15,,0.5646307246549525,0.011547747925873477,17.312829239318205,5245.476026996795,robust_dynamic_b745b6bee838fe77194a,True,21119f4143946dae,904567fd11d251fb
dynamic,13,0.1710584185135547,2.0483789139593145,28.895789257636313,43.86019559122907,2.948994345701985,9.932873382000712e-07,0593bd1bb6ea1f6b,feasible,success,137.80243358443886,141.0,141.0,success,passed,5293.918367271349,33.301962686292896,225.4331252000411,27314,5.433972201245899e-14,2.405935530029628e-15,,0.5680112322280064,0.013987645542827604,17.311865531057208,5263.421521702354,robust_dynamic_17ecccef2129e617f19e,True,0593bd1bb6ea1f6b,904567fd11d251fb
dynamic,14,0.17883452182475904,1.6534167667391868,35.31838103275748,33.287868007528665,2.9804148203915184,8.38043135035008e-07,89b51413476d6461,feasible,success,136.4693305032529,141.0,141.0,success,passed,5279.848184594069,33.30228533934513,211.04215639998438,25921,6.942195438187268e-14,1.273725729111901e-15,,0.5686636230894411,0.010037043838685087,17.28100147197631,5235.632759389388,robust_dynamic_0b925e5b4bd78ede232d,True,89b51413476d6461,904567fd11d251fb
dynamic,15,0.1569283534379266,1.6313337359211615,39.9871813361311,41.144458275383364,3.117977085641967,1.0344781997235006e-06,1c10d5f9d62b71e5,feasible,success,136.84765442017454,140.5,140.5,success,passed,5279.492041630102,33.15234209104606,219.21900889999233,26527,6.742293886828834e-14,2.5474090298766075e-15,,0.5617721488344575,0.008956740298972709,17.29662471391248,5243.837485095439,robust_dynamic_da5630d7c0d0c1093c04,True,1c10d5f9d62b71e5,904567fd11d251fb
dynamic,16,0.16365072943460238,1.6296040984398512,25.758103414590785,34.39013657624862,3.0894957609212756,1.190988176800591e-06,190d74312c095e6d,feasible,success,136.12994697222402,139.5,139.5,success,passed,5258.3044642645555,32.852176481948916,240.03661920002196,26352,6.0264308215974215e-15,3.5380802975822845e-15,,0.5632719749603146,0.013598253683641546,17.287638328451806,5225.607794787794,robust_dynamic_43b815ce65ab88abf668,True,190d74312c095e6d,904567fd11d251fb
dynamic,17,0.15718929957100033,1.2805361776336868,32.427722015271925,33.60009579048025,2.854556636758973,8.77445929704197e-07,84d3a5cf5d6f62dc,feasible,success,135.60498507705654,139.0,139.0,success,passed,5243.910675653855,32.701941531893354,228.94236729998374,25477,1.7913776087666148e-15,2.4059630402555925e-15,,0.5598793742830822,0.008602956552755718,17.29463773587662,5211.173375000577,robust_dynamic_95f65a595161628f657c,True,84d3a5cf5d6f62dc,904567fd11d251fb
dynamic,18,0.16026184754841227,1.940166411660471,27.640301238923925,38.51474947459784,3.0064694006425605,1.196828073882104e-06,d1dc5bc115ecfee5,feasible,success,136.69083648864282,140.0,140.0,success,passed,5268.213133663896,33.00205423659735,244.70778900000732,26902,2.3268467508916346e-14,1.6982956147318433e-15,,0.5638299702226826,0.014127512650059957,17.323052299483095,5237.133965500156,robust_dynamic_581e3c9c982253e15f87,True,d1dc5bc115ecfee5,904567fd11d251fb
dynamic,19,0.16094915435674584,1.2397563300287078,31.999917512788436,37.658959738490616,2.9227785173230245,1.0599625155481249e-06,c3d5efb1daae4e49,feasible,success,136.2151541123364,139.0,139.0,success,passed,5251.60029069153,32.70171458383745,232.93349949998083,26013,3.6607045122619684e-14,1.8398388922451196e-15,,0.5602271340837429,0.008597447209821162,17.29875503819278,5224.320757711819,robust_dynamic_504645130dbba75bd845,True,c3d5efb1daae4e49,904567fd11d251fb
