T_C,j_A_cm2,error_V,valid
-4.5,0.00463930962440476,0.00014031517802415294,True
-4.5,0.005625,0.00028753487729960003,True
-4.5,0.006875,0.0001920573323236363,True
-4.5,0.00875,0.0004772648620942066,True
-4.5,0.01125,0.0002874827078379605,True
-4.5,0.01375,0.00019199354495791354,True
-4.5,0.0175,0.0004771836336884272,True
-4.5,0.0225,0.000287378268132632,True
-4.5,0.027500000000000004,0.00019186590434583373,True
-4.5,0.0325,0.0001370902541648622,True
-4.5,0.0375,0.00010277225643573473,True
-4.5,0.042499999999999996,7.984990860843144e-05,True
-4.5,0.0475,6.377688713488094e-05,True
-4.5,0.0525,5.206779198829725e-05,True
-4.5,0.057499999999999996,4.3270515312943125e-05,True
-4.5,0.0625,3.6490421991941524e-05,True
-4.5,0.0675,3.115189034330612e-05,True
-4.5,0.07250000000000001,2.6870915457499756e-05,True
-4.5,0.07750000000000001,2.3383354470274398e-05,True
-4.5,0.0825,2.050267450992571e-05,True
-4.5,0.08750000000000001,1.809411081221679e-05,True
-4.5,0.0925,1.6058334662782947e-05,True
-4.5,0.0975,1.4320831743130924e-05,True
-4.5,0.10250000000000001,1.2824817796297516e-05,True
-4.5,0.10750000000000001,1.1526406543893586e-05,True
-4.5,0.1125,1.0391247133756387e-05,True
-4.5,0.11750000000000001,9.392141668063125e-06,True
-4.5,0.1225,8.507329408380393e-06,True
-4.5,0.1275,7.719232657632524e-06,True
-4.5,0.1325,7.013527617227844e-06,True
-4.5,0.1375,6.37844741235849e-06,True
-4.5,0.14250000000000002,5.804253279562133e-06,True
-4.5,0.14750000000000002,5.282829090291763e-06,True
-4.5,0.1525,4.807367397163809e-06,True
-4.5,0.1575,4.372124135954003e-06,True
-4.5,0.1625,3.972225338211288e-06,True
-4.5,0.1675,3.6035136274925605e-06,True
-4.5,0.17250000000000001,3.2624254090452e-06,True
-4.5,0.17750000000000002,2.94589192795236e-06,True
-4.5,0.1825,2.6512590448612983e-06,True
-4.5,0.1875,2.376221785116428e-06,True
-4.5,0.1925,2.1187706311653898e-06,True
-4.5,0.1975,1.8771472134471168e-06,True
-4.5,0.2025,1.6498075638970988e-06,True
-4.5,0.20750000000000002,1.4353914914444488e-06,True
-4.5,0.21250000000000002,1.2326969459630632e-06,True
-4.5,0.2175,1.0406584532995922e-06,True
-4.5,0.2225,8.583289111685488e-07,True
-4.5,0.2275,6.848641495027508e-07,True
-4.5,0.2325,5.195097936283588e-07,True
-4.5,0.23750000000000002,3.6159003913294185e-07,True
-4.5,0.2425,2.1049803555772684e-07,True
-4.5,0.2475,6.568760968495013e-08,True
-4.5,0.2525,7.333387042063322e-08,True
-4.5,0.2575,2.07011672137547e-07,True
-4.5,0.2625,3.3574906144195893e-07,True
-4.5,0.2675,4.599119675097185e-07,True
-4.5,0.2725,5.798330563466791e-07,True
-4.5,0.2775,6.958152941605178e-07,True
-4.5,0.28250000000000003,8.081350734157056e-07,True
-4.5,0.28750000000000003,9.170449608575382e-07,True
-4.5,0.2925,1.0227761219061549e-06,True
-4.5,0.2975,1.1255404587240392e-06,True
-4.5,0.3025,1.2255325061438782e-06,True
-4.5,0.3075,1.3229311112139541e-06,True
-4.5,0.3125,1.4179009287795807e-06,True
-4.5,0.3175,1.5105937494208632e-06,True
-4.5,0.3225,1.6011496897228028e-06,True
-4.5,0.3275,1.6896982506509062e-06,True
-4.5,0.3325,1.7763592704556075e-06,True
-4.5,0.3375,1.8612437756582167e-06,True
-4.5,0.3425,1.9444547479929852e-06,True
-4.5,0.34750000000000003,2.0260878144107153e-06,True
-4.5,0.35250000000000004,2.1062318663611634e-06,True
-4.5,0.35750000000000004,2.184969624119404e-06,True
-4.5,0.3625,2.2623781418262823e-06,True
-4.5,0.3675,2.3385292676758596e-06,True
-4.5,0.3725,2.4134900595829123e-06,True
-4.5,0.3775,2.487323164879207e-06,True
-4.5,0.3825,2.560087162484237e-06,True
-4.5,0.3875,2.6318368765432254e-06,True
-4.5,0.3925,2.702623661643422e-06,True
-4.5,0.3975,2.772495662273222e-06,True
-4.5,0.4025,2.84149805251932e-06,True
-4.5,0.40750000000000003,2.9096732498956612e-06,True
-4.5,0.41250000000000003,2.9770611186252793e-06,True
-4.5,0.41750000000000004,3.0436991497184707e-06,True
-4.5,0.4225,3.1096226281723816e-06,True
-4.5,0.4275,3.1748647881801872e-06,True
-4.5,0.4325,3.2394569539073714e-06,True
-4.5,0.4375,3.303428670164976e-06,True
-4.5,0.4425,3.366807820981421e-06,True
-4.5,0.4475,3.4296207427342296e-06,True
-4.5,0.4525,3.4918923232929444e-06,True
-4.5,0.4575,3.553646099052621e-06,True
-4.5,0.4625,3.614904340754066e-06,True
-4.5,0.4675,3.675688134308075e-06,True
-4.5,0.47250000000000003,3.7360174565126414e-06,True
-4.5,0.47750000000000004,3.795911242554517e-06,True
-4.5,0.48250000000000004,3.855387453066683e-06,True
-4.5,0.4875,3.914463130860746e-06,True
-4.5,0.4925,3.973154459657735e-06,True
-4.5,0.4975,4.031476812493828e-06,True
0.5,5e-10,1.1138382882691644e-08,True
0.5,1.084300648087722e-09,2.4154926281383382e-08,True
0.5,1.2671151427991833e-09,2.8227473691799787e-08,True
0.5,1.4807523982786558e-09,3.298665474105178e-08,True
0.5,1.7304091719433345e-09,3.8548235492541494e-08,True
0.5,2.022158401246853e-09,4.504749906431016e-08,True
0.5,2.363096928769132e-09,5.264253544190467e-08,True
0.5,2.7615181339478187e-09,6.151808706889028e-08,True
0.5,3.2271136707434075e-09,7.18900388108068e-08,True
0.5,3.771209218536234e-09,8.401066975416427e-08,True
0.5,4.4070399809302176e-09,9.817478074936048e-08,True
0.5,5.150072634012047e-09,1.1472686223257256e-07,True
0.5,6.018381555504162e-09,1.340694593121583e-07,True
0.5,7.033088486640534e-09,1.5667294483989735e-07,True
0.5,8.218876321604705e-09,1.8308693161550593e-07,True
0.5,9.604589522532925e-09,2.1395359106612943e-07,True
0.5,1.1223935765265053e-08,2.500231974789102e-07,True
0.5,1.3116305883478639e-08,2.921722512816416e-07,True
0.5,1.5327732056466708e-08,3.4142460281216813e-07,True
0.5,1.7912007548616885e-08,3.98976038207266e-07,True
0.5,2.093199523841801e-08,4.662228580976091e-07,True
0.5,2.446115676715346e-08,5.447950328640871e-07,True
0.5,2.8585339504046212e-08,6.365945581787713e-07,True
0.5,3.340486479604349e-08,7.438396554260152e-07,True
0.5,3.903696829922185e-08,8.691154413931201e-07,True
0.5,4.561865175323028e-08,1.0154315546184733e-06,True
0.5,5.331001556860105e-08,1.186286996190944e-06,True
0.5,6.229815329260023e-08,1.3857418914575703e-06,True
0.5,7.280170268706899e-08,1.6184949778175195e-06,True
0.5,8.507616412388804e-08,1.8899640259473216e-06,True
0.5,9.942011566881027e-08,2.2063637066249697e-06,True
0.5,1.1618247603648405e-07,2.574771039709489e-06,True
0.5,1.357709920891076e-07,3.003161446413216e-06,True
0.5,1.5866215733835693e-07,3.500387093513524e-06,True
0.5,1.854128027195958e-07,4.076051376200596e-06,True
0.5,2.1667364158564133e-07,4.740205749698134e-06,True
0.5,2.532050984040335e-07,5.502753087194279e-06,True
0.5,2.958958061931839e-07,6.372379393271288e-06,True
0.5,3.4578422265023266e-07,7.354746662358025e-06,True
0.5,4.040838907860794e-07,8.44955945078496e-06,True
0.5,4.722129585362281e-07,9.645970815430616e-06,True
0.5,5.518286754162768e-07,1.0915647436604559e-05,True
0.5,6.448677053582382e-07,1.2202748177259082e-05,True
0.5,7.535932363433208e-07,1.3410260221613512e-05,True
0.5,8.806500327798515e-07,1.4382906366350312e-05,True
0.5,1.0291287697834797e-06,1.4888669806145671e-05,True
0.5,1.2026412143004133e-06,1.4604358698599995e-05,True
0.5,1.4054080818654717e-06,1.3115453918022268e-05,True
0.5,1.6423617061234313e-06,9.94493343786651e-06,True
0.5,1.919266018564754e-06,4.625145528569519e-06,True
0.5,2.242856757000253e-06,3.1855419351245473e-06,True
0.5,2.6210053133663435e-06,1.3566254610575257e-05,True
