candidate,cache_hit,case_hash,feasibility,stop_reason,success_time,last_valid_time,th_startup,startup_result,shutdown_status,E_aux_total_J,charge_C_cm2,wall_s,nfev,mass_residual,energy_residual,exception,V_min,ice_max,delta_T_max,candidate_id,numerically_accepted,config_requested,code_hash,E_aux_to_success_J
sensitivity_3b8d4475fe2d7dcfbe53,True,fdd0aff72850ec4b,unresolved,horizon,,36.6,0.0,horizon,unresolved,0.0,6.423807267625009,11.037516799988225,2352,6.629436661710497e-14,6.797435369260225e-16,,0.5694649411403199,0.0003808577966636572,0.0,sensitivity_3b8d4475fe2d7dcfbe53,True,fdd0aff72850ec4b,904567fd11d251fb,
sensitivity_9c2de25a0e0344c62963,True,0d83bec476c20cad,unresolved,horizon,,36.6,0.0,horizon,unresolved,0.0,6.423271104988772,10.995234299974982,2367,4.461588968275164e-14,6.797435369260225e-16,,0.5691072664243209,0.0043525595759624424,0.0,sensitivity_9c2de25a0e0344c62963,True,0d83bec476c20cad,904567fd11d251fb,
sensitivity_5754c36cde57908f4f16,True,45b5e127936de2b2,unresolved,horizon,,36.6,0.0,horizon,unresolved,0.0,6.423819580145223,11.635305400006473,2399,1.3475628137962163e-13,6.797435369260225e-16,,0.5690324752912551,0.005280098454071434,0.0,sensitivity_5754c36cde57908f4f16,True,45b5e127936de2b2,904567fd11d251fb,
sensitivity_3f4df866ae883444831a,True,4d4d0841b31d7b49,unresolved,horizon,,36.6,0.0,horizon,unresolved,0.0,6.423902848974962,12.553351900016423,2980,5.333817520005594e-13,1.4082428501610756e-15,,0.5525583284262809,0.009077896382912162,0.0,sensitivity_3f4df866ae883444831a,True,4d4d0841b31d7b49,904567fd11d251fb,
sensitivity_51fa55b7b1e004aa3901,True,8829f2214d2da810,unresolved,horizon,,36.6,0.0,horizon,unresolved,0.0,6.423925622718005,11.05843570001889,2340,9.106778047828924e-14,6.797435369260225e-16,,0.569161430433282,0.0037535464650154,0.0,sensitivity_51fa55b7b1e004aa3901,True,8829f2214d2da810,904567fd11d251fb,
sensitivity_fd77bb148b98edcb18c4,True,db4a552633031285,unresolved,horizon,,36.5999999999999,0.0,horizon,unresolved,0.0,6.602289342910342,9.476380000007339,2161,1.9632454761845476e-12,4.743554863700466e-16,,0.5354496713670281,0.010071942508726436,0.0,sensitivity_fd77bb148b98edcb18c4,True,db4a552633031285,904567fd11d251fb,
sensitivity_245669da2821c64c7c9d,True,f80f44195a21c52f,unresolved,horizon,,36.5999999999999,0.0,horizon,unresolved,0.0,6.602279316639764,9.895901800016873,2346,8.846444715349831e-13,1.0910176186511072e-15,,0.5157636988721013,0.08204891118363161,0.0,sensitivity_245669da2821c64c7c9d,True,f80f44195a21c52f,904567fd11d251fb,
sensitivity_215237fd69fbedf61c1a,True,e020ad6174fd4228,unresolved,horizon,,36.5999999999999,0.0,horizon,unresolved,0.0,6.602230964459448,8.589407099992968,2189,5.8773914246546705e-12,1.3993486847916376e-15,,0.5506229495829881,0.007936518327567841,0.0,sensitivity_215237fd69fbedf61c1a,True,e020ad6174fd4228,904567fd11d251fb,
sensitivity_5d79e9bce502025206ca,True,093fe542e442f0f8,unresolved,horizon,,36.5999999999999,0.0,horizon,unresolved,0.0,6.602214759848075,10.828226200013887,2246,3.0278549229826086e-13,4.743554863700466e-16,,0.5373861926914285,0.0010377814699153718,0.0,sensitivity_5d79e9bce502025206ca,True,093fe542e442f0f8,904567fd11d251fb,
sensitivity_9ddb6b7eb1e409cef44c,True,6cef776d03766c5c,unresolved,horizon,,36.5999999999999,0.0,horizon,unresolved,0.0,6.602219113496157,10.53946460003499,2269,9.909798252348757e-13,9.487109727400932e-16,,0.5351533580370655,0.011714559198328079,0.0,sensitivity_9ddb6b7eb1e409cef44c,True,6cef776d03766c5c,904567fd11d251fb,
sensitivity_4b64385d9c3b2779d85d,True,128e92a0f102bad8,unresolved,horizon,,36.5999999999999,0.0,horizon,unresolved,0.0,6.602168231249962,9.54866570001468,2011,2.9484101693611733e-13,5.929443579625583e-16,,0.5346641139838237,0.014266205935079686,0.0,sensitivity_4b64385d9c3b2779d85d,True,128e92a0f102bad8,904567fd11d251fb,
sensitivity_2cb7583ea44ac3a5b785,True,a73105e933f330cc,unresolved,horizon,,36.5999999999999,0.0,horizon,unresolved,0.0,6.602129182540431,10.487276400031988,2419,1.5797613625932653e-12,5.573676964848048e-16,,0.5180620958918096,0.013665580022273291,0.0,sensitivity_2cb7583ea44ac3a5b785,True,a73105e933f330cc,904567fd11d251fb,
sensitivity_f6dd40cd6a45ad98061d,True,8d2a7925861041c4,unresolved,horizon,,36.5999999999999,0.0,horizon,unresolved,0.0,6.602276866276858,11.059353400021791,2232,1.6658897257452778e-13,5.217910350070513e-16,,0.5354090659377724,0.010037818032648891,0.0,sensitivity_f6dd40cd6a45ad98061d,True,8d2a7925861041c4,904567fd11d251fb,
sensitivity_227237563fc46bb729df,True,59b082fd531d41c2,unresolved,horizon,,36.6,0.0,horizon,unresolved,0.0,6.423903852342548,10.857532800000627,2337,1.7541635541926347e-14,6.797435369260225e-16,,0.5691671710970984,0.003761568697670841,0.0,sensitivity_227237563fc46bb729df,True,59b082fd531d41c2,904567fd11d251fb,
sensitivity_854e7584a948c9dcb88b,True,3330dd183314e4fc,unresolved,horizon,,36.6,0.0,horizon,unresolved,0.0,6.423878108867603,10.429052699997555,2245,8.315817341959942e-14,7.708276653513256e-16,,0.567300459919225,0.004239570894671588,0.0,sensitivity_854e7584a948c9dcb88b,True,3330dd183314e4fc,904567fd11d251fb,
sensitivity_050272215dbb182a6546,True,6e74ce3cff99566b,unresolved,horizon,,36.6,0.0,horizon,unresolved,0.0,6.423693159056432,9.76718870003242,2326,1.301717000751243e-13,9.190637548419652e-16,,0.5692228912097859,0.0037578100114520137,0.0,sensitivity_050272215dbb182a6546,True,6e74ce3cff99566b,904567fd11d251fb,
sensitivity_44696c52eff49cabb3a7,True,5622ed5368763225,unresolved,horizon,,36.6,0.0,horizon,unresolved,0.0,6.423797547835706,10.966523199982475,2520,9.538562280355799e-14,6.642829760299285e-16,,0.5691640290358213,0.0037577315222491543,0.0,sensitivity_44696c52eff49cabb3a7,True,5622ed5368763225,904567fd11d251fb,
sensitivity_ffd5bfbbd668546d5c40,True,bc0cf69f229ab1fd,unresolved,horizon,,36.6,0.0,horizon,unresolved,0.0,6.423840777357047,10.861603599973023,2366,2.6468160131707475e-14,6.797435369260225e-16,,0.5691637452416106,0.0037575246470084264,0.0,sensitivity_ffd5bfbbd668546d5c40,True,bc0cf69f229ab1fd,904567fd11d251fb,
sensitivity_cc80e42010a363811542,True,ebe3898c3af105e3,unresolved,horizon,,36.6,0.0,horizon,unresolved,0.0,6.423821004542776,10.830673700023908,2384,7.549880382160984e-14,1.0080054085363489e-15,,0.5682387728580292,0.003947607973798488,0.0,sensitivity_cc80e42010a363811542,True,ebe3898c3af105e3,904567fd11d251fb,
sensitivity_a7abda348c028eecb087,True,487d93e20ecd1aaa,unresolved,horizon,,36.6,0.0,horizon,unresolved,0.0,6.42401974604226,10.67433540005004,2376,4.231366149025336e-14,7.689747142326926e-16,,0.5701335661037933,0.0035495371596623864,0.0,sensitivity_a7abda348c028eecb087,True,487d93e20ecd1aaa,904567fd11d251fb,
sensitivity_287b021818c6cea534cf,True,548920ea3344b2e0,unresolved,horizon,,36.5999999999999,0.0,horizon,unresolved,0.0,6.6023231450379445,8.900612699973863,2151,4.0627741632925845e-13,4.4507885869564525e-16,,0.5354416008202211,0.010106492583266156,0.0,sensitivity_287b021818c6cea534cf,True,548920ea3344b2e0,904567fd11d251fb,
sensitivity_61cae89775a836e76595,True,802b91ec39862227,unresolved,horizon,,36.5999999999999,0.0,horizon,unresolved,0.0,6.60217237570866,7.474652199947741,1880,4.172334510769858e-13,5.692265836440559e-16,,0.5319530218696799,0.010419940171936044,0.0,sensitivity_61cae89775a836e76595,True,802b91ec39862227,904567fd11d251fb,
sensitivity_9ecf2212c663e0e0fdba,True,98425b9be2691cb5,unresolved,horizon,,36.5999999999999,0.0,horizon,unresolved,0.0,6.602193281791643,9.886260799947195,2073,8.116205850219793e-13,7.115332295550699e-16,,0.5354018718655882,0.010071816866131997,0.0,sensitivity_9ecf2212c663e0e0fdba,True,98425b9be2691cb5,904567fd11d251fb,
sensitivity_51738f2e8da73524194e,True,f97ca2cdd116408d,unresolved,horizon,,36.5999999999999,0.0,horizon,unresolved,0.0,6.602289342910342,8.61967069999082,2161,1.9632454761845476e-12,4.743554863700466e-16,,0.5354496713670281,0.010071942508726436,0.0,sensitivity_51738f2e8da73524194e,True,f97ca2cdd116408d,904567fd11d251fb,
sensitivity_2b4c68240e7458c34442,True,cbc67754b81e2d01,unresolved,horizon,,36.5999999999999,0.0,horizon,unresolved,0.0,6.602107948466086,9.570751899969764,2262,1.2063570565011097e-12,1.1384531672881118e-15,,0.5354928550965965,0.010071965271649367,0.0,sensitivity_2b4c68240e7458c34442,True,cbc67754b81e2d01,904567fd11d251fb,
sensitivity_4fa203a27838a2c89c39,True,55e013d55f66ff46,unresolved,horizon,,36.5999999999999,0.0,horizon,unresolved,0.0,6.602268943124541,9.34878130001016,2053,7.079990819025677e-13,6.085091473590754e-16,,0.5338106726924554,0.010225068375097434,0.0,sensitivity_4fa203a27838a2c89c39,True,55e013d55f66ff46,904567fd11d251fb,
sensitivity_e0eddf0d3f7d757aa9c5,True,afb557dd15b62180,unresolved,horizon,,36.5999999999999,0.0,horizon,unresolved,0.0,6.60226768107975,10.730840899981558,2279,8.900221948200022e-14,8.064043268290793e-16,,0.537162808823706,0.009906803104886614,0.0,sensitivity_e0eddf0d3f7d757aa9c5,True,afb557dd15b62180,904567fd11d251fb,
identifiability_fb5ef35a0c2aef1b8d4d,True,87fec27d3deb223f,unresolved,horizon,,36.6,0.0,horizon,unresolved,0.0,6.423840777357047,7.4256008000229485,2366,2.6468160131707475e-14,6.797435369260225e-16,,0.5691637452416106,0.0037575246470084264,0.0,identifiability_fb5ef35a0c2aef1b8d4d,True,87fec27d3deb223f,904567fd11d251fb,
