case_hash,feasibility,stop_reason,success_time,last_valid_time,th_startup,startup_result,shutdown_status,E_aux_total_J,charge_C_cm2,wall_s,nfev,mass_residual,energy_residual,exception,V_min,ice_max,delta_T_max,candidate_id,numerically_accepted,config_requested,code_hash,evaluation,best_so_far,protocol_json,E_aux_to_success_J
af50916ddfd88962,infeasible,voltage,95.79246663584512,143.00995263225468,,success,voltage,7865.547394774402,33.902992971758714,34.77758600004017,3317,1.9572847089068387e-11,9.199108452004056e-16,,0.5775438640255464,0.00885334816493849,16.284224549288922,q3_coheat_d7afecb5794cb132c0ea,True,af50916ddfd88962,904567fd11d251fb,31,2200.0000000003943,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [1.0, 0.15, 0.1, 0.15, 0.8], ""heat_off"": 160, ""load_start"": 0.0, ""times"": null, ""currents"": null}",5268.585664971876
af50916ddfd88962,infeasible,voltage,95.79246663584512,143.00995263225468,,success,voltage,7865.547394774402,33.902992971758714,35.247773799987044,3317,1.9572847089068387e-11,9.199108452004056e-16,,0.5775438640255464,0.00885334816493849,16.284224549288922,q3_coheat_1a4e1bdf58a094ce5d7f,True,af50916ddfd88962,904567fd11d251fb,32,2200.0000000003943,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [1.0, 0.15, 0.1, 0.15, 0.8], ""heat_off"": 300, ""load_start"": 0.0, ""times"": null, ""currents"": null}",5268.585664971876
af50916ddfd88962,feasible,success,235.3405622285139,235.3405622285139,51.22706082757446,success,passed,3760.561062348335,61.60218836254913,27.200152200006414,2738,1.3884776922178473e-11,8.491484724926821e-16,,0.5573189393355747,0.03561635982332312,23.53611085054405,q3_coheat_72a59f7fc815b77d16d9,True,af50916ddfd88962,904567fd11d251fb,33,2200.0000000003943,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [0.3242582726704603, 0.6832415869993189, 0.2164559212199462, 0.8816503976853062, 0.830780177851729], ""heat_off"": 51.22706082757446, ""load_start"": 0.0, ""times"": null, ""currents"": null}",3760.561062348335
af50916ddfd88962,infeasible,voltage,87.62172440798763,93.19331519037885,,success,voltage,5876.915557544894,18.957995353137978,19.445975499984343,1811,6.5377050798561625e-12,7.076237270772351e-16,,0.451193815959052,0.008369274988802012,30.710418252411046,q3_coheat_75c94ebea42e9be3ac22,True,af50916ddfd88962,904567fd11d251fb,34,2200.0000000003943,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [0.7355803859104642, 0.3619426900781715, 0.7161526040468934, 0.4899239015333813, 0.21886269827984], ""heat_off"": 231.71922261641438, ""load_start"": 0.0, ""times"": null, ""currents"": null}",5525.562367861525
af50916ddfd88962,infeasible,voltage,,93.48916633483077,,voltage,voltage,5789.499430338143,19.04678442482293,16.483169900020584,1690,2.2446767773488785e-12,2.83049490830894e-16,,0.29999999899999924,0.02727453868052395,40.950529513622826,q3_coheat_a56563d2412ce8708aa8,True,af50916ddfd88962,904567fd11d251fb,35,2200.0000000003943,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [0.16558071221796256, 0.21310323597715136, 0.9503389007431976, 0.5632218381224666, 0.5848335273723678], ""heat_off"": 230.10706083215942, ""load_start"": 0.0, ""times"": null, ""currents"": null}",
af50916ddfd88962,infeasible,voltage,,87.52493628791001,,voltage,voltage,5745.17940052052,17.257528883742992,13.40471350000007,1494,2.164604361053574e-12,5.66098981661788e-16,,0.2999999990000001,0.022297546685250892,40.33085183770123,q3_coheat_214d999e2b48a0a4ed0f,True,af50916ddfd88962,904567fd11d251fb,36,2200.0000000003943,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [0.1881848876233459, 0.5035675477959496, 0.6705672362701897, 0.8977818141622836, 0.3655179749254298], ""heat_off"": 168.98414905423056, ""load_start"": 0.0, ""times"": null, ""currents"": null}",
af50916ddfd88962,infeasible,voltage,,60.11467980941819,,voltage,voltage,5418.586516965285,9.034403942825922,4.03744560002815,504,3.5317223718422035e-14,5.66098981661788e-16,,0.29999999899999974,6.748638666238462e-19,36.24691238308037,q3_coheat_e098ab8feac889ec3ecb,True,af50916ddfd88962,904567fd11d251fb,37,2200.0000000003943,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [0.8734429953465328, 0.926425703679552, 0.8971000712248371, 0.4248537233682457, 0.4836772173624754], ""heat_off"": 123.99798163847541, ""load_start"": 0.0, ""times"": null, ""currents"": null}",
af50916ddfd88962,infeasible,voltage,,75.68439144220149,,voltage,voltage,6363.97200684384,13.70532983955144,12.594840899982955,1403,4.712969497568989e-13,5.66098981661788e-16,,0.2999999990000008,0.0016847676089624295,34.97889951064133,q3_coheat_adcc55224c26fbfc0187,True,af50916ddfd88962,904567fd11d251fb,38,2200.0000000003943,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [0.7594256405059101, 0.746532833043916, 0.39133464020735376, 0.9920036216782928, 0.4741296649504424], ""heat_off"": 177.15902645761625, ""load_start"": 0.0, ""times"": null, ""currents"": null}",
af50916ddfd88962,infeasible,voltage,127.3978183502354,142.12657167408256,,success,voltage,6566.039396022916,33.638062924130125,22.27953419997357,2779,5.322264106955134e-12,2.4059206720625992e-15,,0.49252742090205376,0.02473279827151796,26.95682605793627,q3_coheat_3f21b2cae1c2df5d16d8,True,af50916ddfd88962,904567fd11d251fb,39,2200.0000000003943,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [0.35703230058068747, 0.4038557163375206, 0.30669226994737764, 0.3301185304017602, 0.45024258276303086], ""heat_off"": 198.8624978301396, ""load_start"": 0.0, ""times"": null, ""currents"": null}",5885.592570073607
af50916ddfd88962,infeasible,voltage,,80.33351958892702,,voltage,voltage,6369.219710726983,15.100089730651579,11.889435599965509,1387,1.0899185506634389e-12,5.66098981661788e-16,,0.299999999,0.020866271231550316,42.80556140423647,q3_coheat_290a139646111b2fdf4b,True,af50916ddfd88962,904567fd11d251fb,40,2200.0000000003943,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [0.2576322838397719, 0.3074751815118928, 0.8785558078157338, 0.7499892598159309, 0.9777358206298515], ""heat_off"": 150.98043686163442, ""load_start"": 0.0, ""times"": null, ""currents"": null}",
